,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
90,40,unemployed,single,high.school,0,1,0,0,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
91,38,blue-collar,married,basic.9y,0,0,0,0,nov,tue,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
93,25,self-employed,married,university.degree,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
94,30,blue-collar,single,basic.6y,0,1,0,1,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
95,43,management,married,professional.course,0,0,0,0,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
97,31,technician,married,professional.course,0,1,0,1,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
98,53,management,married,university.degree,0,0,0,0,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
102,37,services,married,high.school,0,1,1,0,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
104,33,services,single,basic.9y,0,1,0,0,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
106,44,entrepreneur,married,professional.course,0,0,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
107,38,blue-collar,married,basic.6y,0,1,0,1,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
108,34,blue-collar,married,basic.9y,0,0,0,1,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,0
109,47,management,married,university.degree,0,1,0,0,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
110,59,admin.,married,university.degree,0,1,1,0,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,0
112,31,blue-collar,married,basic.6y,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
113,56,management,married,university.degree,0,1,1,0,nov,wed,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
114,39,admin.,married,university.degree,0,0,0,1,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
115,41,entrepreneur,married,university.degree,0,1,0,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,1
116,41,management,divorced,basic.6y,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
118,35,blue-collar,married,high.school,0,0,1,0,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
119,58,retired,married,basic.9y,0,0,1,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
120,25,self-employed,married,professional.course,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
121,35,blue-collar,divorced,basic.9y,0,1,0,0,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
122,28,services,single,high.school,0,0,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
123,55,blue-collar,married,professional.course,0,1,1,0,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
126,32,blue-collar,married,basic.9y,0,1,0,0,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0
128,75,retired,married,basic.4y,0,0,0,0,apr,tue,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,1
130,29,management,married,university.degree,0,0,1,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
131,45,management,married,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
132,38,admin.,divorced,university.degree,0,0,0,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
133,24,services,single,professional.course,0,1,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
134,41,technician,married,professional.course,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
135,58,retired,divorced,high.school,0,1,0,0,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,1
136,34,admin.,married,university.degree,0,0,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
137,34,admin.,married,university.degree,0,0,0,0,nov,mon,2,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,0
138,37,technician,divorced,professional.course,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
139,53,blue-collar,divorced,basic.4y,0,0,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
140,54,technician,divorced,professional.course,0,1,1,0,jul,tue,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
141,32,technician,divorced,professional.course,0,1,0,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
142,42,admin.,married,high.school,0,1,0,0,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
143,28,technician,single,professional.course,0,1,0,0,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,1
144,33,services,single,high.school,0,1,0,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
145,41,blue-collar,married,basic.9y,0,1,0,0,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
146,31,services,married,high.school,0,0,1,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
149,40,admin.,divorced,university.degree,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
150,82,housemaid,married,basic.4y,0,0,0,1,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1
151,28,blue-collar,married,basic.4y,0,1,0,0,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
153,31,unemployed,single,university.degree,0,1,0,0,jul,tue,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,1
154,32,technician,single,university.degree,0,1,0,0,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
155,54,blue-collar,married,basic.4y,0,1,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
156,31,blue-collar,married,basic.9y,0,0,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
159,31,admin.,single,high.school,0,1,1,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
160,32,unemployed,married,high.school,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
161,46,admin.,single,high.school,0,1,0,0,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,0
162,47,admin.,single,high.school,0,0,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
163,32,admin.,single,high.school,0,0,0,0,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,0
165,45,admin.,married,high.school,0,1,0,0,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,1
166,32,admin.,married,university.degree,0,1,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
168,49,services,married,high.school,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
169,46,admin.,married,high.school,0,1,1,1,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
170,46,blue-collar,married,professional.course,0,0,0,0,nov,fri,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,0
171,38,admin.,married,university.degree,0,1,0,0,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
174,44,technician,married,professional.course,0,0,0,1,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
175,47,technician,married,university.degree,0,1,0,0,aug,wed,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
176,40,blue-collar,married,basic.9y,0,1,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
177,57,retired,single,professional.course,0,1,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
179,52,blue-collar,married,basic.9y,0,0,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
180,34,management,married,university.degree,0,1,1,1,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
181,42,entrepreneur,married,university.degree,0,1,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
184,56,retired,married,high.school,0,0,0,0,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
185,41,management,married,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
186,44,admin.,married,high.school,0,1,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
187,50,blue-collar,married,basic.6y,0,1,0,0,may,mon,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
188,54,self-employed,married,high.school,0,0,0,0,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
189,51,blue-collar,married,basic.6y,0,0,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
190,30,blue-collar,single,basic.9y,0,0,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
193,47,services,single,basic.9y,0,0,0,0,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
194,35,blue-collar,married,basic.6y,0,1,0,0,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
195,58,blue-collar,married,basic.9y,0,0,0,0,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
196,50,blue-collar,divorced,high.school,0,1,1,0,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1
197,41,technician,married,professional.course,0,0,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
198,38,technician,married,university.degree,0,1,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
199,32,student,single,university.degree,0,0,0,0,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
200,21,student,single,high.school,0,0,0,0,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,0
202,42,self-employed,married,university.degree,0,1,0,0,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
203,55,services,married,basic.9y,0,0,0,0,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
204,29,admin.,single,high.school,0,1,0,1,nov,mon,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,0
206,53,management,married,basic.4y,0,1,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
207,35,management,married,university.degree,0,1,0,0,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
208,46,services,married,professional.course,0,1,0,1,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
212,32,technician,married,professional.course,0,0,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
213,41,blue-collar,divorced,basic.9y,0,1,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
214,28,admin.,married,university.degree,0,0,0,0,may,tue,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
215,24,services,single,university.degree,0,0,0,0,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
217,30,admin.,single,university.degree,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
220,22,student,single,high.school,0,0,1,0,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
221,32,entrepreneur,single,university.degree,0,0,1,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
225,38,technician,single,professional.course,0,1,0,0,may,mon,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0
226,59,retired,married,basic.4y,0,0,0,1,apr,tue,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0
227,31,blue-collar,married,basic.4y,0,1,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
228,76,retired,single,basic.4y,0,0,0,0,nov,mon,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,1
233,33,admin.,single,university.degree,0,1,0,0,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1
234,59,retired,married,basic.4y,0,1,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
235,28,blue-collar,married,basic.9y,0,1,0,0,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
236,33,blue-collar,single,basic.6y,0,1,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
238,41,services,married,high.school,0,0,0,0,mar,wed,6,999,0,nonexistent,-1.8,92.843,-50,1.778,5099.1,1
241,35,technician,married,professional.course,0,0,0,0,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
243,53,management,married,university.degree,0,0,0,0,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
244,35,technician,single,professional.course,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
246,34,housemaid,single,university.degree,0,0,0,1,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
247,42,admin.,married,basic.9y,0,0,0,1,apr,mon,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
248,36,self-employed,married,basic.9y,0,1,1,0,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
249,44,admin.,married,high.school,0,0,0,1,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
250,50,admin.,divorced,university.degree,0,1,0,0,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
251,36,admin.,married,university.degree,0,1,0,0,sep,fri,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,0
252,27,technician,married,professional.course,0,0,0,0,jul,thu,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
254,25,technician,single,university.degree,0,1,1,1,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
255,29,management,married,university.degree,0,1,1,0,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
256,44,admin.,married,high.school,0,0,0,1,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
258,30,admin.,single,high.school,0,1,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
259,37,self-employed,married,university.degree,0,1,1,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
260,57,technician,married,basic.9y,0,0,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
261,32,technician,married,professional.course,0,1,0,0,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1
262,54,admin.,married,professional.course,0,0,0,0,nov,tue,2,10,1,success,-1.1,94.767,-50.8,1.035,4963.6,1
263,58,blue-collar,married,basic.9y,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,1
266,27,unemployed,single,university.degree,0,0,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
267,30,unemployed,married,high.school,0,1,0,0,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
268,42,blue-collar,married,basic.4y,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
269,48,housemaid,married,high.school,0,0,0,1,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
270,35,admin.,single,university.degree,0,0,0,0,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
273,30,services,married,high.school,0,0,0,1,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
274,28,technician,single,high.school,0,1,1,0,apr,thu,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0
277,30,admin.,single,university.degree,0,1,0,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
278,27,student,single,basic.9y,0,1,0,0,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,0
279,23,entrepreneur,married,university.degree,0,1,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
282,31,self-employed,single,university.degree,0,0,0,0,aug,mon,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,0
283,43,self-employed,married,basic.9y,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
284,52,technician,married,high.school,0,1,0,1,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
286,24,blue-collar,married,basic.9y,0,1,1,1,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
287,35,blue-collar,single,basic.6y,0,0,0,0,nov,thu,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
288,59,technician,married,professional.course,0,0,0,0,jun,thu,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,1
290,37,blue-collar,single,basic.9y,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
291,46,admin.,married,professional.course,0,0,0,0,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
292,26,technician,single,university.degree,0,1,0,0,jul,fri,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,1
293,40,management,married,university.degree,0,1,0,0,aug,thu,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
295,40,management,married,university.degree,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
296,29,admin.,single,university.degree,0,1,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
297,28,blue-collar,single,basic.9y,0,1,0,0,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
