,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,housing_new
43,45,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
44,32,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
45,39,2,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,0
46,32,1,999,0,-0.1,93.2,-42.0,4.592,5195.8,0,0,1,0,0
47,29,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,0
48,44,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,0
49,32,3,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,0
50,56,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,0,1,0,0,1
51,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
52,39,3,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,0
53,24,2,3,1,-3.4,92.37899999999999,-29.8,0.77,5017.5,1,0,0,1,1
54,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
55,58,2,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,0,1,0,0
56,29,27,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
57,31,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
58,27,5,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
59,60,1,999,1,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1,1,0,0,1
60,55,1,999,2,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0,1,0,0,1
61,37,2,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,1
62,52,1,6,1,-1.8,93.749,-34.6,0.654,5008.7,1,0,0,1,1
63,46,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
64,42,2,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,1
65,35,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
66,49,1,999,0,-3.4,92.431,-26.9,0.754,5017.5,0,0,1,0,1
67,29,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,0
68,32,2,5,1,-0.1,93.2,-42.0,4.191,5195.8,1,0,0,1,0
69,37,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,0
70,39,4,999,0,1.4,94.465,-41.8,4.865,5228.1,1,0,1,0,0
71,51,3,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,0,1,0,1
72,28,3,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,0,1,0,1
73,34,4,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,1
74,31,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,1
75,31,5,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,1
76,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
77,38,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
78,33,6,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0
79,32,12,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,0
80,54,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
81,41,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,1
82,59,7,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
83,57,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,0,0,0,1,1
84,38,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,1
85,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
86,37,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,1
88,45,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,0,1,0,0
89,36,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
90,40,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
91,38,2,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,0
92,44,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
93,25,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
94,30,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
95,43,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,0
96,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
97,31,6,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
98,53,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
99,52,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,0,1,0,0
100,37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0
101,58,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
102,37,3,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,0,1,0,1
103,38,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
104,33,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,1,0,1
105,45,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,1,0,1
106,44,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,0
107,38,2,999,0,1.4,93.91799999999999,-42.7,4.966,5228.1,0,0,1,0,1
108,34,1,999,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0,0,1,0,0
109,47,1,999,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0,0,1,0,1
110,59,1,999,0,-2.9,92.469,-33.6,1.085,5076.2,0,0,1,0,1
111,51,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
112,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
113,56,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,0,1,0,0,1
114,39,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
115,41,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,0,1,0,1
116,41,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,1
117,53,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
118,35,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
119,58,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,0
120,25,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
121,35,1,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,1,0,0,1
122,28,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
123,55,3,999,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1,0,0,1
124,54,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
125,45,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
126,32,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,1
127,50,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
128,75,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,0,0,0
129,33,4,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,0
130,29,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,0
131,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
132,38,1,999,0,-1.8,93.075,-47.1,1.392,5099.1,1,0,1,0,0
133,24,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,1
134,41,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
135,58,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,1,0,1,0,1
136,34,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
137,34,2,999,0,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,1,0,0
138,37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
139,53,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,0,0
140,54,14,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
141,32,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,1
142,42,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
143,28,2,3,1,-2.9,92.20100000000001,-31.4,0.851,5076.2,1,0,0,1,1
144,33,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,1
145,41,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
146,31,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,0
147,40,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
148,53,1,999,1,-3.4,92.649,-30.1,0.716,5017.5,0,1,0,0,0
149,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
150,82,3,3,2,-1.1,94.199,-37.5,0.877,4963.6,1,0,0,1,0
151,28,1,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
152,30,3,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,1
153,31,1,6,3,-1.7,94.215,-40.3,0.835,4991.6,1,0,0,1,1
154,32,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
155,54,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
156,31,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
157,50,2,999,0,1.4,93.444,-36.1,4.968,5228.1,0,0,1,0,1
158,47,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
159,31,1,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,1
160,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,1
161,46,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,1
162,47,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,0
163,32,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,0
164,52,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,0
165,45,3,6,1,-1.1,94.601,-49.5,1.0290000000000001,4963.6,1,0,0,1,1
166,32,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
167,71,1,999,0,-1.7,94.027,-38.3,0.904,4991.6,0,0,1,0,0
168,49,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
169,46,10,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
170,46,1,999,0,-1.1,94.76700000000001,-50.8,1.028,4963.6,0,0,1,0,0
171,38,6,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
172,57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
174,44,3,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,0
175,47,7,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
176,40,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,1
177,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
178,27,1,3,1,-1.8,93.369,-34.8,0.637,5008.7,1,0,0,1,0
179,52,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,0
180,34,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,0,0,1,0,1
181,42,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
182,51,3,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
183,45,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
184,56,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,0
185,41,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
186,44,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
187,50,3,3,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,1,0,0,1,1
188,54,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
189,51,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
190,30,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
191,42,8,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
192,41,11,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,1
193,47,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,0
194,35,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,1
195,58,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,0
196,50,2,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,0,1,0,1
197,41,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
198,38,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,1
199,32,2,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,0
200,21,1,999,1,-2.9,92.20100000000001,-31.4,0.884,5076.2,0,1,0,0,0
201,46,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
202,42,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0,1
203,55,13,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
204,29,1,6,1,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,0,1,1
205,30,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
206,53,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,1
207,35,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,1
208,46,4,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
209,30,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
210,43,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
211,42,4,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
212,32,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
213,41,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,1
214,28,3,999,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,1,0,0,0
215,24,6,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
216,43,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
217,30,1,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,1
218,55,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,0
219,51,1,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,0,0,1,0,0
220,22,2,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,0
221,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,0
222,43,3,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,0
223,39,5,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,0
224,52,8,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
225,38,3,999,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,1,0,0,1
226,59,4,999,0,-1.8,93.075,-47.1,1.453,5099.1,0,0,1,0,0
227,31,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
228,76,4,6,1,-3.4,92.649,-30.1,0.715,5017.5,1,0,0,1,0
229,44,3,999,0,1.4,94.465,-41.8,4.96,5228.1,0,0,1,0,1
230,30,2,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,0
231,32,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0
232,41,3,999,0,1.4,94.465,-41.8,4.967,5228.1,0,0,1,0,0
233,33,4,999,0,1.4,93.444,-36.1,4.963,5228.1,1,0,1,0,1
234,59,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
235,28,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
236,33,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
237,53,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
238,41,6,999,0,-1.8,92.84299999999999,-50.0,1.778,5099.1,1,0,1,0,0
239,55,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
240,45,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
241,35,4,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,0
242,31,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,0
243,53,4,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
244,35,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
245,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
246,34,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
247,42,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0
248,36,3,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,1
249,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
250,50,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
251,36,1,999,0,-3.4,92.37899999999999,-29.8,0.773,5017.5,0,0,1,0,1
252,27,9,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
253,40,3,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
254,25,6,999,0,1.4,94.465,-41.8,4.96,5228.1,0,0,1,0,1
255,29,2,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,1
256,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
257,57,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
258,30,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,1
259,37,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,1
260,57,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
261,32,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,0,1,0,1
262,54,2,10,1,-1.1,94.76700000000001,-50.8,1.035,4963.6,1,0,0,1,0
263,58,1,999,0,1.4,93.444,-36.1,4.97,5228.1,1,0,1,0,1
264,29,5,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
265,60,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,0
266,27,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
267,30,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
268,42,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
269,48,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
270,35,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,0
271,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
272,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
273,30,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,0
274,28,4,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,1
275,34,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
276,42,1,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,0
277,30,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,1
278,27,1,999,0,-1.7,94.027,-38.3,0.9,4991.6,0,0,1,0,1
279,23,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
280,43,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
281,59,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
282,31,1,999,2,-1.7,94.027,-38.3,0.898,4991.6,0,1,0,0,0
283,43,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,0
284,52,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
285,26,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,1
286,24,6,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
287,35,1,999,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,0,0,0
288,59,4,999,1,-1.7,94.055,-39.8,0.742,4991.6,1,1,0,0,0
289,28,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
290,37,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
291,46,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0
292,26,3,6,2,-1.7,94.215,-40.3,0.861,4991.6,1,0,0,1,1
293,40,6,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
294,56,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
295,40,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,1
296,29,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
297,28,1,999,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1,0,0,1
298,48,7,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
299,28,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,1
300,33,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
301,56,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,1
302,57,4,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,0
303,24,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,1
304,39,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,0
305,40,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
306,54,3,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
307,25,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
308,36,3,999,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,1,1,0,0,0
309,48,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,1
310,32,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
311,48,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,1
312,30,3,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,1
313,41,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
