,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,job_new
68,32,2,5,1,-0.1,93.2,-42.0,4.191,5195.8,1,0,0,1,1
69,37,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,6
70,39,4,999,0,1.4,94.465,-41.8,4.865,5228.1,1,0,1,0,9
71,51,3,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,0,1,0,7
72,28,3,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,0,1,0,0
73,34,4,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,4
74,31,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,9
75,31,5,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,0
76,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
77,38,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,6
78,33,6,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,10
79,32,12,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,9
80,54,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,9
81,41,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
82,59,7,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,7
83,57,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,0,0,0,1,5
84,38,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,2
85,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
86,37,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,10
87,47,3,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,1,0,7
88,45,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,0,1,0,0
89,36,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
90,40,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,10
91,38,2,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,1
92,44,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,1
93,25,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,6
94,30,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
95,43,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,4
96,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,5
97,31,6,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,9
98,53,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,4
99,52,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,0,1,0,0
100,37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,4
101,58,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
102,37,3,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,0,1,0,7
103,38,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,0
104,33,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,1,0,7
105,45,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,1,0,7
106,44,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,2
107,38,2,999,0,1.4,93.91799999999999,-42.7,4.966,5228.1,0,0,1,0,1
108,34,1,999,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0,0,1,0,1
109,47,1,999,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0,0,1,0,4
110,59,1,999,0,-2.9,92.469,-33.6,1.085,5076.2,0,0,1,0,0
111,51,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
112,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
113,56,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,0,1,0,0,4
114,39,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
115,41,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,0,1,0,2
116,41,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,4
117,53,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,7
118,35,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
119,58,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,5
120,25,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,6
121,35,1,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,1,0,0,1
122,28,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,7
123,55,3,999,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1,0,0,1
124,54,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,2
125,45,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,9
126,32,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,1
127,50,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
128,75,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,0,0,5
129,33,4,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,6
130,29,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,4
131,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,4
132,38,1,999,0,-1.8,93.075,-47.1,1.392,5099.1,1,0,1,0,0
133,24,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,7
134,41,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,9
135,58,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,1,0,1,0,5
136,34,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
137,34,2,999,0,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,1,0,0
138,37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,9
139,53,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,0,1
140,54,14,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,9
141,32,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,9
142,42,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
143,28,2,3,1,-2.9,92.20100000000001,-31.4,0.851,5076.2,1,0,0,1,9
144,33,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,7
145,41,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
146,31,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,7
147,40,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,9
149,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
150,82,3,3,2,-1.1,94.199,-37.5,0.877,4963.6,1,0,0,1,3
151,28,1,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
152,30,3,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
153,31,1,6,3,-1.7,94.215,-40.3,0.835,4991.6,1,0,0,1,10
154,32,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,9
155,54,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
156,31,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,1
157,50,2,999,0,1.4,93.444,-36.1,4.968,5228.1,0,0,1,0,7
158,47,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,9
159,31,1,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,0
160,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,10
161,46,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,0
162,47,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,0
163,32,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,0
164,52,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,7
165,45,3,6,1,-1.1,94.601,-49.5,1.0290000000000001,4963.6,1,0,0,1,0
166,32,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,0
167,71,1,999,0,-1.7,94.027,-38.3,0.904,4991.6,0,0,1,0,1
168,49,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,7
169,46,10,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
170,46,1,999,0,-1.1,94.76700000000001,-50.8,1.028,4963.6,0,0,1,0,1
171,38,6,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
172,57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,7
173,41,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,7
174,44,3,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,9
175,47,7,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,9
176,40,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,1
177,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,5
178,27,1,3,1,-1.8,93.369,-34.8,0.637,5008.7,1,0,0,1,0
179,52,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,1
180,34,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,0,0,1,0,4
181,42,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,2
182,51,3,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,9
183,45,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,4
184,56,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,5
185,41,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,4
186,44,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
187,50,3,3,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,1,0,0,1,1
188,54,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,6
189,51,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
190,30,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,1
191,42,8,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,3
192,41,11,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,9
193,47,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,7
194,35,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,1
195,58,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,1
196,50,2,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,0,1,0,1
197,41,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,9
198,38,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,9
199,32,2,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,8
200,21,1,999,1,-2.9,92.20100000000001,-31.4,0.884,5076.2,0,1,0,0,8
201,46,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
202,42,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0,6
203,55,13,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,7
204,29,1,6,1,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,0,1,0
205,30,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
206,53,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,4
207,35,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,4
208,46,4,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,7
209,30,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
210,43,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,2
211,42,4,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,7
212,32,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,9
213,41,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,1
214,28,3,999,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,1,0,0,0
215,24,6,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,7
216,43,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,4
217,30,1,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,0
218,55,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,1
219,51,1,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,0,0,1,0,5
220,22,2,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,8
221,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,2
222,43,3,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,0
223,39,5,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,4
224,52,8,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
225,38,3,999,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,1,0,0,9
226,59,4,999,0,-1.8,93.075,-47.1,1.453,5099.1,0,0,1,0,5
227,31,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
228,76,4,6,1,-3.4,92.649,-30.1,0.715,5017.5,1,0,0,1,5
230,30,2,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,1
231,32,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,7
232,41,3,999,0,1.4,94.465,-41.8,4.967,5228.1,0,0,1,0,10
233,33,4,999,0,1.4,93.444,-36.1,4.963,5228.1,1,0,1,0,0
234,59,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,5
235,28,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,1
236,33,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
237,53,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,7
238,41,6,999,0,-1.8,92.84299999999999,-50.0,1.778,5099.1,1,0,1,0,7
240,45,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
241,35,4,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,9
242,31,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,7
243,53,4,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,4
244,35,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,9
245,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
246,34,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,3
247,42,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0
248,36,3,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,6
249,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
250,50,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
251,36,1,999,0,-3.4,92.37899999999999,-29.8,0.773,5017.5,0,0,1,0,0
252,27,9,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,9
253,40,3,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,4
254,25,6,999,0,1.4,94.465,-41.8,4.96,5228.1,0,0,1,0,9
255,29,2,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,4
256,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
257,57,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
258,30,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
259,37,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,6
260,57,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,9
261,32,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,0,1,0,9
262,54,2,10,1,-1.1,94.76700000000001,-50.8,1.035,4963.6,1,0,0,1,0
263,58,1,999,0,1.4,93.444,-36.1,4.97,5228.1,1,0,1,0,1
264,29,5,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
265,60,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,7
266,27,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,10
267,30,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,10
268,42,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
269,48,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,3
270,35,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,0
271,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
272,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,5
273,30,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,7
274,28,4,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,9
275,34,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,7
276,42,1,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
277,30,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,0
278,27,1,999,0,-1.7,94.027,-38.3,0.9,4991.6,0,0,1,0,8
279,23,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,2
280,43,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
281,59,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,4
282,31,1,999,2,-1.7,94.027,-38.3,0.898,4991.6,0,1,0,0,6
283,43,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,6
284,52,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,9
285,26,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,3
286,24,6,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
287,35,1,999,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,0,0,1
288,59,4,999,1,-1.7,94.055,-39.8,0.742,4991.6,1,1,0,0,9
289,28,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
290,37,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
291,46,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0
292,26,3,6,2,-1.7,94.215,-40.3,0.861,4991.6,1,0,0,1,9
293,40,6,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,4
294,56,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
295,40,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,4
296,29,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
297,28,1,999,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1,0,0,1
298,48,7,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,9
299,28,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,10
300,33,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,9
301,56,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,2
302,57,4,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,5
303,24,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,0
304,39,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,6
305,40,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
306,54,3,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
307,25,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,0
308,36,3,999,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,1,1,0,0,1
309,48,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
310,32,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
311,48,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
312,30,3,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,9
