age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
44,admin.,divorced,university.degree,0,0,0,0,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
46,admin.,divorced,university.degree,0,1,0,1,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,entrepreneur,married,university.degree,0,1,1,0,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
50,blue-collar,married,basic.4y,0,0,1,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1
55,services,married,basic.6y,0,1,0,0,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
39,technician,divorced,high.school,0,0,0,0,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,1
29,technician,single,university.degree,0,1,1,0,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
40,management,married,high.school,0,0,1,0,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
44,technician,married,professional.course,0,1,0,1,may,fri,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
38,technician,married,professional.course,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
36,technician,divorced,professional.course,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
28,blue-collar,married,basic.6y,0,0,0,0,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
47,admin.,single,university.degree,0,0,0,1,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
34,admin.,married,university.degree,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
38,technician,married,university.degree,0,1,1,0,mar,tue,1,999,1,failure,-1.8,92.843,-50,1.687,5099.1,0
33,services,married,high.school,0,1,0,1,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
51,technician,single,university.degree,0,0,0,0,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0
30,blue-collar,single,basic.4y,0,1,0,1,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
48,technician,married,university.degree,0,0,0,0,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
28,blue-collar,single,basic.9y,0,1,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
36,blue-collar,married,basic.6y,0,1,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
46,management,divorced,high.school,0,0,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
31,technician,single,university.degree,0,1,0,0,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
20,student,single,university.degree,0,0,0,0,oct,mon,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,0
35,services,married,high.school,0,1,0,0,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
38,blue-collar,married,basic.9y,0,1,0,1,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
76,retired,married,university.degree,0,0,0,0,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,0
45,entrepreneur,divorced,professional.course,0,1,0,0,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
32,housemaid,married,basic.4y,0,1,1,0,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
39,management,single,university.degree,0,0,0,0,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
32,admin.,married,university.degree,0,0,0,1,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.592,5195.8,0
29,admin.,single,basic.9y,0,0,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
44,services,married,professional.course,0,0,0,0,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
32,services,married,high.school,0,0,1,0,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
56,retired,married,university.degree,0,1,0,0,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,0
33,blue-collar,married,basic.9y,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,management,married,high.school,0,0,0,0,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
24,technician,married,university.degree,0,1,1,0,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1
33,admin.,single,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
58,entrepreneur,divorced,university.degree,0,0,0,1,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
29,admin.,single,university.degree,0,1,0,1,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
31,admin.,married,university.degree,0,1,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
27,admin.,married,university.degree,0,0,0,1,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
60,admin.,divorced,professional.course,0,1,0,0,sep,wed,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,1
55,entrepreneur,married,professional.course,0,1,1,0,oct,mon,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,0
37,blue-collar,married,basic.9y,0,1,0,0,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
52,admin.,married,university.degree,0,1,0,1,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,1
46,services,married,high.school,0,1,0,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
42,blue-collar,divorced,basic.6y,0,1,0,0,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
35,admin.,single,university.degree,0,1,0,0,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
49,technician,divorced,university.degree,0,1,1,0,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,0
29,services,divorced,high.school,0,0,1,1,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
32,blue-collar,married,basic.9y,0,0,0,0,nov,mon,2,5,1,success,-0.1,93.2,-42,4.191,5195.8,1
37,self-employed,married,university.degree,0,0,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
39,technician,single,professional.course,0,0,0,1,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1
51,services,married,high.school,0,1,0,1,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
28,admin.,single,high.school,0,1,0,0,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
34,management,married,university.degree,0,1,0,0,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
31,technician,single,high.school,0,1,1,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
31,admin.,married,university.degree,0,1,0,0,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
31,admin.,single,university.degree,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
38,self-employed,single,university.degree,0,0,0,1,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
33,unemployed,married,basic.9y,0,0,0,1,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
32,technician,single,university.degree,0,0,0,0,aug,tue,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
54,technician,married,professional.course,0,1,0,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
41,admin.,divorced,high.school,0,1,0,1,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
59,services,married,basic.4y,0,0,0,0,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
57,retired,married,university.degree,0,1,0,0,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0
38,entrepreneur,divorced,university.degree,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
46,admin.,married,university.degree,0,1,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,unemployed,single,university.degree,0,1,1,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
47,services,single,basic.9y,0,1,0,1,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,1
45,admin.,single,university.degree,0,0,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1
36,blue-collar,married,basic.6y,0,1,0,1,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
40,unemployed,single,high.school,0,1,0,0,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38,blue-collar,married,basic.9y,0,0,0,0,nov,tue,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
44,blue-collar,married,high.school,0,0,0,1,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
25,self-employed,married,university.degree,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,blue-collar,single,basic.6y,0,1,0,1,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
43,management,married,professional.course,0,0,0,0,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
58,retired,married,basic.6y,0,0,0,1,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,technician,married,professional.course,0,1,0,1,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
53,management,married,university.degree,0,0,0,0,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
52,admin.,married,university.degree,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
37,management,married,university.degree,0,0,1,0,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
58,admin.,married,high.school,0,1,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
37,services,married,high.school,0,1,1,0,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
38,admin.,single,university.degree,0,1,0,0,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
33,services,single,basic.9y,0,1,0,0,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
45,services,married,high.school,0,1,0,0,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
44,entrepreneur,married,professional.course,0,0,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
38,blue-collar,married,basic.6y,0,1,0,1,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
34,blue-collar,married,basic.9y,0,0,0,1,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,0
47,management,married,university.degree,0,1,0,0,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
59,admin.,married,university.degree,0,1,1,0,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,0
51,blue-collar,married,basic.4y,0,1,1,0,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
31,blue-collar,married,basic.6y,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
56,management,married,university.degree,0,1,1,0,nov,wed,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
39,admin.,married,university.degree,0,0,0,1,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
41,entrepreneur,married,university.degree,0,1,0,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,1
41,management,divorced,basic.6y,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
53,services,married,high.school,0,0,0,1,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
35,blue-collar,married,high.school,0,0,1,0,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
58,retired,married,basic.9y,0,0,1,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
25,self-employed,married,professional.course,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
35,blue-collar,divorced,basic.9y,0,1,0,0,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
28,services,single,high.school,0,0,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
55,blue-collar,married,professional.course,0,1,1,0,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
54,entrepreneur,married,basic.4y,0,0,1,1,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
45,technician,divorced,basic.9y,0,0,0,0,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,blue-collar,married,basic.9y,0,1,0,0,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0
50,admin.,married,basic.9y,0,1,0,0,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
75,retired,married,basic.4y,0,0,0,0,apr,tue,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,1
33,self-employed,divorced,university.degree,0,0,0,1,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
29,management,married,university.degree,0,0,1,0,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
45,management,married,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
38,admin.,divorced,university.degree,0,0,0,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
24,services,single,professional.course,0,1,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
41,technician,married,professional.course,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
58,retired,divorced,high.school,0,1,0,0,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,1
34,admin.,married,university.degree,0,0,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,admin.,married,university.degree,0,0,0,0,nov,mon,2,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,0
37,technician,divorced,professional.course,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
53,blue-collar,divorced,basic.4y,0,0,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
54,technician,divorced,professional.course,0,1,1,0,jul,tue,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
32,technician,divorced,professional.course,0,1,0,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
42,admin.,married,high.school,0,1,0,0,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
28,technician,single,professional.course,0,1,0,0,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,1
33,services,single,high.school,0,1,0,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
41,blue-collar,married,basic.9y,0,1,0,0,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
31,services,married,high.school,0,0,1,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
40,technician,married,basic.9y,0,0,1,1,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
53,admin.,married,basic.9y,0,0,1,0,nov,wed,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,0
40,admin.,divorced,university.degree,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
82,housemaid,married,basic.4y,0,0,0,1,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1
28,blue-collar,married,basic.4y,0,1,0,0,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
30,admin.,married,high.school,0,1,0,0,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
31,unemployed,single,university.degree,0,1,0,0,jul,tue,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,1
32,technician,single,university.degree,0,1,0,0,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
54,blue-collar,married,basic.4y,0,1,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
31,blue-collar,married,basic.9y,0,0,0,0,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
50,services,married,university.degree,0,1,0,0,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
47,technician,single,university.degree,0,0,0,0,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
31,admin.,single,high.school,0,1,1,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
32,unemployed,married,high.school,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
46,admin.,single,high.school,0,1,0,0,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,0
47,admin.,single,high.school,0,0,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
32,admin.,single,high.school,0,0,0,0,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,0
52,services,divorced,high.school,0,0,0,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
45,admin.,married,high.school,0,1,0,0,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,1
32,admin.,married,university.degree,0,1,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
71,blue-collar,divorced,basic.4y,0,0,0,0,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,0
49,services,married,high.school,0,1,0,1,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
46,admin.,married,high.school,0,1,1,1,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
46,blue-collar,married,professional.course,0,0,0,0,nov,fri,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,0
38,admin.,married,university.degree,0,1,0,0,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
57,services,married,professional.course,0,0,0,0,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
41,services,single,high.school,0,1,0,0,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
44,technician,married,professional.course,0,0,0,1,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
47,technician,married,university.degree,0,1,0,0,aug,wed,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
40,blue-collar,married,basic.9y,0,1,1,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
57,retired,single,professional.course,0,1,0,1,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
27,admin.,single,university.degree,0,0,0,0,mar,tue,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,1
52,blue-collar,married,basic.9y,0,0,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
34,management,married,university.degree,0,1,1,1,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
42,entrepreneur,married,university.degree,0,1,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
51,technician,married,university.degree,0,1,0,1,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
45,management,married,basic.4y,0,1,0,1,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
56,retired,married,high.school,0,0,0,0,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
41,management,married,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
44,admin.,married,high.school,0,1,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
50,blue-collar,married,basic.6y,0,1,0,0,may,mon,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
54,self-employed,married,high.school,0,0,0,0,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
51,blue-collar,married,basic.6y,0,0,0,0,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
30,blue-collar,single,basic.9y,0,0,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
42,housemaid,married,basic.4y,0,1,0,1,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
41,technician,married,professional.course,0,1,0,1,jun,mon,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
47,services,single,basic.9y,0,0,0,0,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
35,blue-collar,married,basic.6y,0,1,0,0,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
58,blue-collar,married,basic.9y,0,0,0,0,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
50,blue-collar,divorced,high.school,0,1,1,0,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1
41,technician,married,professional.course,0,0,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
38,technician,married,university.degree,0,1,0,0,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
32,student,single,university.degree,0,0,0,0,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
21,student,single,high.school,0,0,0,0,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,0
46,admin.,divorced,basic.9y,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,self-employed,married,university.degree,0,1,0,0,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
55,services,married,basic.9y,0,0,0,0,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
29,admin.,single,high.school,0,1,0,1,nov,mon,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,0
30,blue-collar,single,basic.6y,0,1,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
53,management,married,basic.4y,0,1,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
35,management,married,university.degree,0,1,0,0,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
46,services,married,professional.course,0,1,0,1,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
30,blue-collar,married,university.degree,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
43,entrepreneur,married,university.degree,0,1,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
42,services,married,high.school,0,1,0,0,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
32,technician,married,professional.course,0,0,0,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
41,blue-collar,divorced,basic.9y,0,1,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
28,admin.,married,university.degree,0,0,0,0,may,tue,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
24,services,single,university.degree,0,0,0,0,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
43,management,married,university.degree,0,1,1,0,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,admin.,single,university.degree,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
55,blue-collar,married,basic.9y,0,0,0,0,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
51,retired,married,basic.9y,0,0,0,0,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
22,student,single,high.school,0,0,1,0,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
32,entrepreneur,single,university.degree,0,0,1,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
