,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job
140,54,14,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,technician
141,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,technician
142,42,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,admin.
143,28,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes,technician
144,33,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,services
145,41,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,blue-collar
146,31,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,services
147,40,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,technician
149,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,admin.
150,82,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes,housemaid
151,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,blue-collar
152,30,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,admin.
153,31,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes,unemployed
154,32,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,technician
155,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,blue-collar
156,31,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,blue-collar
157,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,services
158,47,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,technician
159,31,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,admin.
160,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,unemployed
161,46,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,admin.
162,47,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,admin.
163,32,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,admin.
164,52,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,services
165,45,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes,admin.
166,32,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,admin.
167,71,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no,blue-collar
168,49,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,services
169,46,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,admin.
170,46,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.028,4963.6,no,blue-collar
171,38,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,admin.
172,57,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,services
173,41,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,services
174,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,technician
175,47,7,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,technician
176,40,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,blue-collar
177,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,retired
178,27,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes,admin.
179,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,blue-collar
180,34,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,management
181,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,entrepreneur
182,51,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,technician
183,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,management
184,56,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,retired
185,41,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,management
186,44,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,admin.
187,50,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,blue-collar
188,54,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,self-employed
189,51,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,blue-collar
190,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,blue-collar
191,42,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,housemaid
192,41,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,technician
193,47,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,services
194,35,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,blue-collar
195,58,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,blue-collar
196,50,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes,blue-collar
197,41,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,technician
198,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,technician
199,32,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,student
200,21,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2,no,student
201,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,admin.
202,42,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,self-employed
203,55,13,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,services
204,29,1,6,1,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,admin.
205,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,blue-collar
206,53,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,management
207,35,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,management
208,46,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,services
209,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,blue-collar
210,43,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,entrepreneur
211,42,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,services
212,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,technician
213,41,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,blue-collar
214,28,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,admin.
215,24,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,services
216,43,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,management
217,30,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,admin.
218,55,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,blue-collar
219,51,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no,retired
220,22,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,student
221,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,entrepreneur
222,43,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,admin.
223,39,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,management
224,52,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,blue-collar
225,38,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,technician
226,59,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no,retired
227,31,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,blue-collar
228,76,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,retired
230,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,blue-collar
231,32,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,services
232,41,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,unemployed
233,33,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes,admin.
234,59,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,retired
235,28,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,blue-collar
236,33,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,blue-collar
237,53,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,services
238,41,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes,services
240,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,blue-collar
241,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,technician
242,31,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,services
243,53,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,management
244,35,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,technician
245,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,blue-collar
246,34,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,housemaid
247,42,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,admin.
248,36,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,self-employed
249,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,admin.
250,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,admin.
251,36,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.773,5017.5,no,admin.
252,27,9,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,technician
253,40,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,management
254,25,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,technician
255,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,management
256,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,admin.
257,57,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,blue-collar
258,30,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,admin.
259,37,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,self-employed
260,57,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,technician
261,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes,technician
262,54,2,10,1,success,-1.1,94.76700000000001,-50.8,1.035,4963.6,yes,admin.
263,58,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes,blue-collar
264,29,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,admin.
265,60,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,services
266,27,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,unemployed
267,30,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,unemployed
268,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,blue-collar
269,48,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,housemaid
270,35,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,admin.
271,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,blue-collar
272,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,retired
273,30,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,services
274,28,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,technician
275,34,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,services
276,42,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,blue-collar
277,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,admin.
278,27,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,no,student
279,23,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,entrepreneur
280,43,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,blue-collar
281,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,management
282,31,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,no,self-employed
283,43,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,self-employed
284,52,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,technician
285,26,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,housemaid
286,24,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,blue-collar
287,35,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,blue-collar
288,59,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes,technician
289,28,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,blue-collar
290,37,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,blue-collar
291,46,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,admin.
292,26,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes,technician
293,40,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,management
294,56,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,blue-collar
295,40,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,management
296,29,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,admin.
297,28,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,blue-collar
298,48,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,technician
299,28,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,unemployed
300,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,technician
301,56,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,entrepreneur
302,57,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,retired
303,24,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,admin.
