n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_avg_min,kw_avg_max,kw_avg_avg,self_reference_avg_sharess,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,avg_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,two_class_popularity,multi_class_popularity,,shares
10,317,0.496835441,0.999999996,0.557017541,23,2,11,0,4.886435331,10,0,0,0,0,0,0,468.4,296940,3798.265762,1200,0,0.02106787,0.020223269,0.413613766,0.524695012,0.020400083,0.7125,0.256944444,0.022082019,0.012618297,0.636363636,0.363636364,0.564285714,-0.241666667,0,0,0.5,0,1,5,,42300
8,3157,0.368421053,0.999999999,0.560975609,69,3,14,0,4.735508394,8,0,0,1,0,0,0,194.918,299800,2514.880735,2600,0,0.793513705,0.131408879,0.025002802,0.025024887,0.025049726,0.515480713,0.205521428,0.052581565,0.014570795,0.783018868,0.216981132,0.427647408,-0.262077295,0,0,0.5,0,1,5,,5200
10,546,0.526217227,0.999999997,0.674418603,12,2,1,0,5.054945055,5,0,0,0,0,0,1,45.25,324600,2135.612691,12350,0,0.040003454,0.040003685,0.839939357,0.040002296,0.040051208,0.35603355,0.116844787,0.02014652,0.012820513,0.611111111,0.388888889,0.329176505,-0.182993197,0.333333333,0.25,0.166666667,0.25,1,5,,4900
13,728,0.408901251,0.999999998,0.56968215,4,0,2,0,4.695054945,4,0,0,0,0,0,1,16,264400,2290.230032,0,0,0.05000075,0.05000006,0.799995549,0.050000021,0.050003621,0.43734457,0.004200055,0.027472527,0.019230769,0.588235294,0.411764706,0.275941558,-0.345663265,0.333333333,0.25,0.166666667,0.25,1,5,,5800
11,264,0.635593218,0.999999994,0.678362569,18,2,14,0,5.075757576,7,0,0,0,0,0,0,345.8571429,376642.8571,5327.140032,2300,0,0.246158598,0.028592425,0.028572544,0.667309017,0.029367416,0.471527778,-0.195138889,0.011363636,0.026515152,0.3,0.7,0.311111111,-0.467857143,0.383333333,-0.35,0.116666667,0.35,1,5,,4600
7,319,0.621212119,0.999999995,0.638095235,37,3,17,1,4.247648903,7,0,0,0,0,0,0,141.2857143,333657.1429,4625.49696,1500,0,0.029658583,0.028589191,0.028849497,0.882764508,0.030138222,0.610606061,0.181818182,0.021943574,0.009404389,0.7,0.3,0.45,-0.383333333,1,0.8,0.5,0.8,1,4,,3300
10,1631,0.398753894,0.999999999,0.559650824,16,2,9,1,4.581851625,10,0,1,0,0,0,0,96.7,217470,3238.111535,1900,0,0.020152458,0.469047019,0.020058349,0.020127541,0.470614633,0.437387822,0.031167778,0.057020233,0.042305334,0.574074074,0.425925926,0.394469813,-0.394749252,0.555555556,-0.166666667,0.055555556,0.166666667,1,5,,4000
11,430,0.551312648,0.999999996,0.734939756,12,8,1,1,4.676744186,10,0,0,0,0,1,0,116,322580,2942.110271,1925,0,0.129728186,0.020039664,0.020012653,0.020000637,0.81021886,0.444309454,0.17194875,0.046511628,0.004651163,0.909090909,0.090909091,0.288603896,-0.133333333,0,0,0.5,0,1,4,,3400
13,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.8975,843300,5560.026532,0,0,0.050000257,0.05003578,0.05000009,0.799963787,0.050000086,0,0,0,0,0,0,0,0,0.333333333,-0.166666667,0.166666667,0.166666667,1,5,,13500
13,801,0.474293059,0.999999998,0.647798741,11,6,3,3,4.594257179,10,1,0,0,0,0,0,8.6,287130,3421.062746,5625,0,0.020440925,0.020014357,0.020010219,0.020209786,0.919324713,0.450065151,0.043295879,0.033707865,0.021223471,0.613636364,0.386363636,0.298929774,-0.308940243,0.3,0,0.2,0,1,5,,4300
13,452,0.533487297,0.999999996,0.663003661,28,3,7,1,4.915929204,8,0,0,0,0,0,0,406.2857143,336137.5,4814.302835,2700,0,0.025001497,0.180193835,0.025000625,0.744803462,0.025000581,0.484869432,0.036635945,0.028761062,0.019911504,0.590909091,0.409090909,0.395054945,-0.366666667,1,-0.25,0.5,0.25,1,5,,19400
11,791,0.413279132,0.999999998,0.519832984,17,5,12,1,4.85335019,9,0,0,0,0,1,0,344.125,321944.4444,2574.659354,4875,0,0.02226341,0.022253566,0.022224641,0.022222491,0.911035893,0.443175287,0.171297022,0.0505689,0.01011378,0.833333333,0.166666667,0.328276515,-0.286979167,0,0,0.5,0,1,5,,9900
9,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,188.69875,503637.5,6976.833311,0,0,0.025000299,0.507134839,0.02500027,0.417864468,0.025000124,0,0,0,0,0,0,0,0,0,0,0.5,0,1,5,,3500
11,1465,0.411080711,0.999999999,0.641677255,15,0,2,0,4.56996587,6,0,0,1,0,0,0,309.6666667,312983.3333,4011.347304,0,0,0.866666483,0.033333412,0.033333374,0.033333369,0.033333362,0.465761584,0.142650954,0.045733788,0.01774744,0.720430108,0.279569892,0.409296698,-0.296153846,0.1,0,0.4,0,1,5,,4400
11,947,0.433581296,0.999999998,0.648111331,8,1,2,0,4.525871172,7,1,0,0,0,0,0,199.1666667,214928.5714,2776.282844,39700,0,0.885053618,0.028576053,0.028610641,0.02862464,0.029135048,0.486520266,0.13724268,0.045406547,0.020063358,0.693548387,0.306451613,0.471458774,-0.309502924,0.5,0.5,0,0.5,1,5,,7300
8,2099,0.377413127,0.999999999,0.559173947,55,21,3,2,4.950452596,7,0,0,1,0,0,0,551.6666667,265485.7143,3357.373756,4345.454545,0,0.88570892,0.028572488,0.028572015,0.028574704,0.028571872,0.438701334,0.153788815,0.057170081,0.019056694,0.75,0.25,0.348358586,-0.206661706,0,0,0.5,0,1,4,,3400
9,826,0.454987834,0.999999998,0.728365383,13,0,1,1,4.501210654,6,0,0,1,0,0,0,309.8,315566.6667,3103.03762,0,0,0.866550032,0.033336346,0.033334651,0.033368791,0.03341018,0.477791757,0.108481128,0.037530266,0.025423729,0.596153846,0.403846154,0.391491761,-0.239484127,0,0,0.5,0,1,4,,3300
8,924,0.3820598,0.999999998,0.528195488,5,4,4,2,4.66017316,7,0,0,0,0,1,0,138.5,319671.4286,2407.634163,8000,0,0.028658248,0.028637315,0.172086751,0.028571675,0.742046011,0.447826572,0.178886062,0.067099567,0.012987013,0.837837838,0.162162162,0.3278348,-0.142460317,0,0,0.5,0,1,5,,4600
8,1246,0.422757475,0.999999999,0.622998543,16,9,1,2,4.481540931,10,0,0,0,0,1,0,170.375,226710,2086.395742,5342.857143,0,0.122794325,0.020034136,0.020004327,0.117537824,0.719629388,0.502080225,0.167745464,0.048154093,0.020866774,0.697674419,0.302325581,0.39036075,-0.261675824,1,0,0.5,0,1,5,,8100
11,283,0.619926197,0.999999994,0.798742133,6,1,2,0,4.681978799,9,0,1,0,0,0,0,194.7777778,176266.6667,3290.808684,3100,0,0.022768916,0.390087724,0.238894699,0.022341359,0.325907302,0.337653028,0.009864777,0.035335689,0.03180212,0.526315789,0.473684211,0.283636364,-0.211728395,1,0,0.5,0,1,5,,3500
10,2452,0.403305785,0.999999999,0.626780626,3,2,5,1,4.549347471,5,0,1,0,0,0,0,84.2,276120,3354.354608,4400,0,0.040002075,0.639866624,0.239981597,0.040143151,0.040006553,0.442829572,0.119925358,0.037520392,0.019983687,0.65248227,0.34751773,0.383572017,-0.267803257,0,0,0.5,0,1,5,,3800
6,1328,0.436781609,0.999999999,0.614622056,32,10,4,0,5.108433735,7,0,0,1,0,0,0,243.7985714,440700,3724.645835,3800,0,0.761906813,0.152311702,0.028571812,0.028571863,0.02863781,0.438902021,0.150336542,0.045180723,0.018072289,0.714285714,0.285714286,0.384974747,-0.196354167,0.85,0.25,0.35,0.25,1,5,,4300
11,157,0.65384615,0.999999988,0.839506162,2,2,1,0,4.108280255,7,0,1,0,0,0,0,113,212714.2857,2481.019116,5550,0,0.028572457,0.703173066,0.028571916,0.211110596,0.028571964,0.45,0.029166667,0.031847134,0.025477707,0.555555556,0.444444444,0.4,-0.4125,0,0,0.5,0,1,5,,17500
9,898,0.387024608,0.999999998,0.601694914,9,0,1,1,4.208240535,6,0,0,0,0,1,0,100.4,400566.6667,3701.718289,0,0,0.034063311,0.033336624,0.033442202,0.033334951,0.865822912,0.4973612,0.148473095,0.035634744,0.013363029,0.727272727,0.272727273,0.395484984,-0.22514881,0,0,0.5,0,1,5,,4400
9,367,0.623100302,0.999999996,0.665384613,38,2,37,0,5.138964578,8,0,0,0,0,0,0,214.5,297637.5,5912.270614,19000,0,0.025000047,0.025005999,0.025000026,0.89996784,0.025026088,0.541666667,-0.004761905,0.013623978,0.016348774,0.454545455,0.545454545,0.486666667,-0.45,1,0.5,0.5,0.5,1,4,,3400
14,925,0.427789934,0.999999998,0.589118198,12,1,2,0,4.721081081,2,0,0,0,0,1,0,-1,753450,3297.60077,1500,0,0.100000358,0.100005731,0.100007252,0.100000556,0.599986103,0.44958309,0.130095648,0.04972973,0.014054054,0.779661017,0.220338983,0.328958216,-0.265384615,0.525,0.125,0.025,0.125,1,4,,3400
9,713,0.439436619,0.999999998,0.606435642,6,3,2,0,4.816269285,4,0,0,0,1,0,0,93.5,567700,3693.500069,2450,0,0.549524434,0.050012118,0.050224351,0.050217777,0.30002132,0.413088512,0.183474576,0.051893408,0.018232819,0.74,0.26,0.36463964,-0.18974359,0.3,0.2,0.2,0.2,1,5,,5200
8,483,0.545851527,0.999999997,0.620795105,51,3,0,1,5.498964803,8,0,0,0,0,0,0,356.875,337650,10308.31282,3950,0,0.0250032,0.355259129,0.025002016,0.390290317,0.204445339,0.478711201,0.246491228,0.02484472,0.00621118,0.8,0.2,0.519444444,-0.433333333,0,0,0.5,0,1,5,,6700
11,797,0.444730077,0.999999998,0.588607594,4,4,5,0,4.543287327,8,0,0,0,0,1,0,162.75,377425,3547.694405,8200,0,0.025032188,0.025000599,0.025009989,0.025000152,0.899957072,0.461420035,0.129992074,0.047678795,0.023839398,0.666666667,0.333333333,0.347203235,-0.173684211,0,0,0.5,0,1,5,,11400
11,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,193,421357.1429,3438.684331,0,0,0.028574967,0.029380612,0.028573459,0.712642819,0.200828143,0,0,0,0,0,0,0,0,0,0,0.5,0,1,5,,4200
9,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,236.9,214440,3566.52957,0,0,0.020201723,0.020030537,0.225321817,0.020484455,0.713961468,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,1,5,,5600
10,179,0.636871505,0.999999991,0.799999993,4,2,0,1,4.424581006,7,0,0,0,0,0,0,296.5128571,506357.1429,5678.023531,23700,0,0.030527653,0.173136716,0.02863196,0.739132128,0.028571543,0.477445887,-0.130750361,0.027932961,0.044692737,0.384615385,0.615384615,0.190606061,-0.370535714,0,0,0.5,0,1,5,,25500
7,299,0.589830506,0.999999995,0.739130431,4,2,3,0,5.063545151,6,0,0,0,0,0,1,207.5,195700,2997.996064,1900,0,0.033619706,0.033333718,0.532753246,0.033333564,0.366959766,0.400297619,0.067559524,0.030100334,0.023411371,0.5625,0.4375,0.367592593,-0.148809524,0,0,0.5,0,1,5,,10200
13,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,85.07375,484700,4866.376435,0,0,0.022232268,0.022228764,0.022251267,0.911065076,0.022222625,0,0,0,0,0,0,0,0,0.75,0.25,0.25,0.25,1,5,,24300
11,315,0.582733811,0.999999995,0.626126123,37,3,36,0,5.136507937,6,0,0,0,0,0,0,208,364683.3333,5543.696152,3400,0,0.033333396,0.03334475,0.033333365,0.866655047,0.033333442,0.566770648,0.33057041,0.041269841,0.006349206,0.866666667,0.133333333,0.498951049,-0.433333333,0.2,0.3,0.3,0.3,1,5,,4500
13,190,0.650537631,0.999999992,0.756302515,12,1,8,1,4.731578947,8,0,0,0,0,0,0,155,291375,4747.675992,6200,0,0.025002309,0.025050084,0.025004124,0.899897904,0.025045578,0.5109375,0.274479167,0.047368421,0.015789474,0.75,0.25,0.548148148,-0.263888889,0.416666667,0.25,0.083333333,0.25,1,5,,9100
9,124,0.609756093,0.999999988,0.627906969,9,1,6,0,5.540322581,7,0,0,0,0,0,0,232.7142857,325357.1429,4619.522486,12900,0,0.02857229,0.028816558,0.028571753,0.885463018,0.02857638,0.395,0.281666667,0.056451613,0,1,0,0.473809524,0,0,0,0.5,0,1,5,,5100
9,1034,0.396825396,0.999999998,0.582593249,5,5,12,0,4.269825919,6,0,0,0,0,1,0,185.1666667,485500,3314.861622,7600,0,0.033346576,0.033334238,0.033343159,0.033333491,0.866642536,0.385038756,0.182499561,0.036750484,0.012572534,0.745098039,0.254901961,0.414714058,-0.173397436,0.333333333,-0.166666667,0.166666667,0.166666667,1,5,,11900
13,1226,0.327470686,0.999999999,0.465288035,5,4,7,1,4.460848287,10,0,0,0,0,1,0,189.5,239660,2790.187929,2133.5,0,0.020028307,0.020024685,0.020000367,0.020000046,0.919946595,0.421546326,0.158135431,0.041598695,0.013050571,0.76119403,0.23880597,0.42919107,-0.206857639,0.375,0.4,0.125,0.4,1,5,,9300
15,526,0.541832668,0.999999997,0.625352111,21,2,13,1,4.796577947,10,0,0,1,0,0,0,191.8,468210,4410.184421,5300,0,0.329327643,0.131531001,0.02000081,0.499001764,0.020138781,0.425824176,0.079235348,0.022813688,0.013307985,0.631578947,0.368421053,0.358134921,-0.388095238,0.55,0.2,0.05,0.2,1,5,,12300
7,432,0.504694834,0.999999996,0.655303028,2,0,1,1,4.678240741,6,0,0,0,0,0,1,24.83333333,452150,3898.24756,0,0,0.033334491,0.033383507,0.533537227,0.366375957,0.033368818,0.271182266,-0.073152709,0.009259259,0.027777778,0.25,0.75,0.1625,-0.230952381,0,0,0.5,0,1,5,,17500
10,490,0.542194092,0.999999997,0.7027972,9,1,2,2,4.387755102,5,0,0,0,0,0,0,90.4,550500,4203.107002,1300,0,0.040000215,0.04084221,0.040000759,0.839156695,0.040000121,0.39713868,0.081620718,0.026530612,0.02244898,0.541666667,0.458333333,0.42967033,-0.15959596,0,0,0.5,0,1,5,,7900
9,277,0.478260868,0.999999995,0.546448084,15,1,10,0,4.797833935,6,0,0,0,0,0,0,173,342750,4475.664262,1900,0,0.033334624,0.483029623,0.033334106,0.41696764,0.033334006,0.593518519,0.062037037,0.025270758,0.018050542,0.583333333,0.416666667,0.314285714,-0.291111111,0.4375,0.1875,0.0625,0.1875,1,5,,6500
8,94,0.739130427,0.999999981,0.924528284,3,3,0,1,4.904255319,7,0,0,1,0,0,0,207.2271429,350042.8571,3349.531101,0,0,0.885609299,0.028572485,0.028571826,0.028618648,0.028627743,0.57,0.25,0.031914894,0.010638298,0.75,0.25,0.5,-0.25,0,0,0.5,0,1,5,,3700
8,402,0.529999999,0.999999996,0.683982681,7,0,1,0,4.708955224,4,0,0,0,0,0,1,13.25,276375,2879.405845,0,0,0.050000745,0.050000062,0.799941233,0.050000041,0.05005792,0.406550352,0.118744807,0.047263682,0.019900498,0.703703704,0.296296296,0.32144566,-0.189236111,0,0,0.5,0,1,5,,3600
10,162,0.615384611,0.999999991,0.633027517,21,3,19,0,4.987654321,5,0,0,0,0,0,0,151.6,409000,5194.202585,24450,0,0.040000313,0.040016916,0.040000062,0.839982589,0.04000012,0.592857143,0.165079365,0.030864198,0.00617284,0.833333333,0.166666667,0.377142857,-0.4,0.5,0.2,0,0.2,1,5,,14200
7,170,0.570469795,0.99999999,0.557692302,22,1,21,0,4.611764706,6,0,0,0,0,0,0,503.8333333,402716.6667,5961.756595,2500,0,0.033341306,0.033355982,0.033337713,0.706677204,0.193287795,0.64672619,0.5375,0.035294118,0,1,0,0.716666667,0,0.666666667,0,0.166666667,0,1,5,,32400
14,2100,0.320649416,0.999999999,0.486948694,69,6,1,1,4.167619048,7,0,0,0,0,1,0,-1,341642.8571,3417.78452,4100,0,0.028605502,0.028572091,0.028578317,0.028571486,0.885672604,0.553498681,0.246007696,0.048571429,0.007619048,0.86440678,0.13559322,0.463971649,-0.275,0,0,0.5,0,1,5,,6000
13,0,0,0,0,0,0,1,1,0,10,0,1,0,0,0,0,338.459,398250,5287.799588,0,0,0.020000337,0.17660718,0.02000155,0.763390774,0.020000158,0,0,0,0,0,0,0,0,0.75,-0.54375,0.25,0.54375,1,5,,4300
10,947,0.493107104,0.999999998,0.697508896,9,0,1,0,5.296726505,6,0,0,1,0,0,0,149.118,489700,3407.595029,0,0,0.866665294,0.033333968,0.033333575,0.03333364,0.033333523,0.461690847,0.149252272,0.067581837,0.02217529,0.752941176,0.247058824,0.345734409,-0.248809524,0,0,0.5,0,1,5,,8900
12,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,1659.57375,388730,6271.333482,0,1,0.020682721,0.384101384,0.020000737,0.555214649,0.020000509,0,0,0,0,0,0,0,0,0,0,0.5,0,1,5,,13800
11,335,0.584717606,0.999999995,0.668181815,62,3,31,0,5.074626866,9,1,0,0,0,0,0,193.1111111,282544.4444,5628.86329,3400,1,0.022700248,0.022233175,0.022224115,0.71802708,0.214815382,0.684126984,-0.022222222,0.005970149,0.014925373,0.285714286,0.714285714,0.5,-0.311111111,1,0.5,0.5,0.5,1,5,,4200
10,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,345.82375,450237.5,5940.225777,0,1,0.025000718,0.025007481,0.02500019,0.899991464,0.025000148,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,5,,4400
11,428,0.578282827,0.999999997,0.6552901,13,2,10,0,4.476635514,10,1,0,0,0,0,0,208.8,278170,4395.134232,4800,1,0.020522301,0.020014001,0.020022213,0.352855394,0.586586091,0.564834055,0.39260101,0.067757009,0.009345794,0.878787879,0.121212121,0.502037618,-0.163888889,0.633333333,0.491666667,0.133333333,0.491666667,1,5,,4000
13,2253,0.378619154,0.999999999,0.588189588,34,6,6,0,4.528628495,6,0,0,1,0,0,0,282,308366.6667,3229.138983,6600,1,0.866665894,0.03333364,0.033333501,0.033333507,0.033333458,0.444856244,0.128439744,0.038171327,0.019085664,0.666666667,0.333333333,0.356919486,-0.20620155,0.454545455,0.136363636,0.045454545,0.136363636,1,4,,3100
11,1060,0.41586998,0.999999998,0.601941747,18,2,2,0,4.849056604,4,0,0,1,0,0,0,198.75,422625,3194.857115,1400,1,0.799752847,0.0500002,0.050088488,0.050000089,0.050158375,0.387552272,0.144996245,0.039622642,0.014150943,0.736842105,0.263157895,0.414231602,-0.202539683,0.1,0,0.4,0,1,5,,3700
8,375,0.596730244,0.999999996,0.719665269,11,6,1,1,4.869333333,9,0,0,0,0,1,0,280.4444444,406044.4444,3653.171156,4577,1,0.122461919,0.022235867,0.145110716,0.022262905,0.687928593,0.340759637,0.003741497,0.005333333,0.016,0.25,0.75,0.45,-0.136904762,0,0,0.5,0,1,4,,3300
9,506,0.524793387,0.999999997,0.641337384,15,2,12,0,4.865612648,9,1,0,0,0,0,0,231.625,276877.7778,4608.663614,2600,1,0.0234118,0.022237478,0.022275335,0.722195418,0.209879969,0.571099291,0.104698582,0.053359684,0.037549407,0.586956522,0.413043478,0.421759259,-0.354385965,0.520833333,0.104166667,0.020833333,0.104166667,1,5,,12800
15,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,140.75,249266.6667,3466.241063,0,1,0.022964751,0.43122975,0.212110717,0.128456044,0.205238738,0,0,0,0,0,0,0,0,0.35,-0.275,0.15,0.275,1,4,,3300
10,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,170.44875,458787.5,4674.426126,0,1,0.227650299,0.025015692,0.164594032,0.557332766,0.025407211,0,0,0,0,0,0,0,0,0.9,0.7,0.4,0.7,1,5,,9000
8,254,0.578260867,0.999999994,0.670807449,25,4,21,1,5.153543307,9,0,0,0,0,0,0,152.625,254722.2222,4194.702654,4500,1,0.309371078,0.022236297,0.022227654,0.398624384,0.247540587,0.620138889,0.358854167,0.047244094,0.007874016,0.857142857,0.142857143,0.553472222,-0.45,0.7,0.55,0.2,0.55,1,5,,15400
10,354,0.570093456,0.999999996,0.678571426,32,2,30,0,4.912429379,10,0,0,0,0,0,0,424.4,251060,5425.059398,2900,1,0.020324401,0.020007731,0.020001643,0.918987403,0.020678821,0.606593407,-0.048534799,0.019774011,0.016949153,0.538461538,0.461538462,0.409863946,-0.411111111,0,0,0.5,0,1,5,,3700
6,873,0.452655889,0.999999998,0.657786884,8,2,1,0,4.639175258,4,0,0,1,0,0,0,98.5,401275,2922.878464,1800,1,0.796227178,0.050977574,0.050453727,0.050003397,0.052338124,0.462837397,0.087854247,0.04696449,0.025200458,0.650793651,0.349206349,0.350934431,-0.288699495,0.4,-0.3,0.1,0.3,1,5,,4300
9,1337,0.435395458,0.999999999,0.602484471,80,4,37,3,4.456993269,10,0,0,0,0,0,0,170.7,280880,5273.500934,2750,1,0.020324378,0.020061851,0.020001585,0.918868998,0.020743188,0.533480254,0.173159072,0.04038893,0.017202693,0.701298701,0.298701299,0.427126824,-0.223093513,0,0,0.5,0,1,5,,4200
8,333,0.524390242,0.999999995,0.672043007,5,3,1,1,4.084084084,9,0,1,0,0,0,0,290.375,171400,4526.895628,6500,0,0.022224822,0.48931303,0.022304165,0.443935181,0.022222802,0.363544974,0.365238095,0.03003003,0.006006006,0.833333333,0.166666667,0.663571429,-0.060714286,0.3,1,0.2,1,1,5,,3700
5,214,0.611650482,0.999999992,0.743999994,4,3,1,1,4.728971963,5,0,0,1,0,0,0,197,467860,3437.790274,2400,0,0.635152919,0.040003644,0.244823551,0.04001949,0.040000396,0.261111111,0.216666667,0.014018692,0,1,0,0.433333333,0,0,0,0.5,0,1,4,,3200
11,722,0.465373961,0.999999998,0.634433961,3,2,1,4,4.789473684,5,0,0,0,0,0,1,130.4,325600,2304.401228,878,0,0.040000422,0.040000359,0.839996477,0.040000288,0.040002455,0.457219662,0.234677419,0.030470914,0.002770083,0.916666667,0.083333333,0.340909091,-0.0875,0,0,0.5,0,1,5,,7800
12,552,0.525490195,0.999999997,0.628571427,23,2,1,0,4.528985507,9,0,0,0,0,0,0,163.4444444,421105.5556,3975.504928,880,0,0.022888585,0.628807657,0.022338898,0.303741712,0.022223148,0.516029412,0.205147059,0.052536232,0.016304348,0.763157895,0.236842105,0.428505747,-0.502777778,0,0,0.5,0,1,5,,24400
10,181,0.536723161,0.99999999,0.686274503,3,2,0,1,4.160220994,4,0,0,0,0,0,1,3935,285450,5931.921612,1000,0,0.05000124,0.050001428,0.799994651,0.050000808,0.050001874,0.394166667,0.099444444,0.055248619,0.027624309,0.666666667,0.333333333,0.36,-0.26,0.75,0,0.25,0,1,5,,7200
11,1078,0.360377358,0.999999998,0.522765598,3,3,9,4,4.079777365,6,0,1,0,0,0,0,108.4,221733.3333,2409.784559,2600,0,0.033334605,0.865695011,0.033334259,0.034302207,0.033333918,0.547401961,0.17807423,0.050092764,0.023191095,0.683544304,0.316455696,0.456746032,-0.370690476,0.75,-0.45,0.25,0.45,1,5,,8200
11,975,0.402705515,0.999999998,0.614035087,11,0,1,1,4.30974359,9,0,0,0,0,1,0,906.5555556,213177.7778,4102.065699,0,0,0.365882521,0.022225436,0.267416396,0.022224275,0.322251372,0.53210793,0.301330093,0.065641026,0.01025641,0.864864865,0.135135135,0.519586039,-0.27125,0.5,-0.1875,0,0.1875,1,5,,11800
