,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,housing
32,51,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no,no
33,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,yes
34,48,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,no
35,28,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,yes
36,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,yes
37,46,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
38,31,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,yes
39,20,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no,no
40,35,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,yes
42,76,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no,no
43,45,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
44,32,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
45,39,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
46,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no,no
47,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
48,44,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,no
49,32,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
50,56,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,yes
51,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
52,39,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
53,24,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes,yes
54,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
55,58,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,no
56,29,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,yes
57,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
58,27,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
59,60,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes,yes
60,55,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no,yes
61,37,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,yes
62,52,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,yes
63,46,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,yes
64,42,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,yes
65,35,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,yes
66,49,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no,yes
67,29,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
68,32,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes,no
69,37,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
70,39,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes,no
71,51,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes,yes
72,28,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,yes
73,34,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,yes
74,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,yes
75,31,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,yes
76,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,yes
77,38,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
78,33,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
79,32,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
80,54,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,yes
81,41,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,yes
82,59,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
83,57,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,yes
84,38,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,yes
85,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
86,37,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,yes
88,45,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes,no
89,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,yes
90,40,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,yes
91,38,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
92,44,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
93,25,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
94,30,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
95,43,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
96,58,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
97,31,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,yes
98,53,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
99,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,no
100,37,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
101,58,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
102,37,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,yes
103,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
104,33,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,yes
105,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,yes
106,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
107,38,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,no,yes
108,34,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,no,no
109,47,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no,yes
110,59,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no,yes
111,51,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
112,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,yes
113,56,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,yes
114,39,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
115,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes,yes
116,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,yes
117,53,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
118,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
119,58,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
120,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,yes
121,35,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,yes
122,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
123,55,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,yes
124,54,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
125,45,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
126,32,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,yes
127,50,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
128,75,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes,no
129,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
130,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,no
131,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
132,38,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes,no
133,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,yes
134,41,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
135,58,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,yes
136,34,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
137,34,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,no
138,37,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
139,53,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,no
140,54,14,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
141,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,yes
142,42,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,yes
143,28,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes,yes
144,33,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,yes
145,41,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,yes
146,31,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
147,40,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
148,53,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no,no
149,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,yes
150,82,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes,no
151,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,yes
152,30,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,yes
153,31,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes,yes
154,32,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,yes
155,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
156,31,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
157,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,yes
158,47,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
159,31,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,yes
160,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,yes
161,46,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,yes
162,47,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
163,32,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,no
164,52,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,no
165,45,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes,yes
166,32,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
167,71,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no,no
168,49,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,yes
169,46,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,yes
170,46,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.028,4963.6,no,no
171,38,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,yes
172,57,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
174,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
175,47,7,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
176,40,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,yes
177,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
178,27,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes,no
179,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,no
180,34,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,yes
181,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
182,51,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,yes
183,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,yes
184,56,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
185,41,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
186,44,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
187,50,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,yes
188,54,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
189,51,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
190,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
191,42,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,yes
192,41,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,yes
193,47,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
194,35,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,yes
195,58,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
196,50,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes,yes
197,41,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
198,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,yes
199,32,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
200,21,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2,no,no
201,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
202,42,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,yes
203,55,13,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
204,29,1,6,1,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,yes
205,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,yes
206,53,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,yes
207,35,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,yes
208,46,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,yes
209,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
210,43,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
211,42,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,yes
212,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
213,41,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
214,28,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,no
215,24,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
216,43,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,yes
217,30,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,yes
218,55,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
219,51,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no,no
220,22,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
221,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
222,43,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
223,39,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
224,52,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
225,38,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,yes
226,59,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no,no
227,31,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
228,76,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,no
229,44,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,yes
230,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
231,32,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
232,41,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,no
233,33,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes,yes
234,59,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
235,28,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,yes
236,33,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
237,53,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
238,41,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes,no
239,55,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
240,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
241,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
242,31,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,no
243,53,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
244,35,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
245,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,yes
246,34,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
247,42,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
248,36,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,yes
249,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
250,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,yes
251,36,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.773,5017.5,no,yes
252,27,9,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
253,40,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
254,25,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,yes
255,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,yes
256,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
257,57,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,yes
258,30,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,yes
259,37,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,yes
260,57,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
261,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes,yes
262,54,2,10,1,success,-1.1,94.76700000000001,-50.8,1.035,4963.6,yes,no
263,58,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes,yes
264,29,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
265,60,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
266,27,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
267,30,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
268,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
269,48,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
270,35,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,no
271,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
272,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
273,30,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
274,28,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,yes
275,34,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,yes
276,42,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,no
277,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,yes
278,27,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,no,yes
279,23,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
280,43,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
281,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
282,31,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,no,no
283,43,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
284,52,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
285,26,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,yes
286,24,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,yes
287,35,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
288,59,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes,no
289,28,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
290,37,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
291,46,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
292,26,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes,yes
293,40,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,yes
294,56,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,yes
295,40,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,yes
296,29,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,yes
297,28,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,yes
298,48,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
299,28,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,yes
300,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
301,56,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,yes
302,57,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,no
303,24,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,yes
304,39,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
305,40,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,yes
306,54,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,yes
307,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
308,36,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,yes,no
309,48,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,yes
310,32,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,yes
311,48,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,yes
312,30,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,yes
313,41,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
