,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,marital_divorced,marital_married,marital_single
48,44,2,999,0,1.4,93.444,-36.1,4.97,5228.1,no,0,1,0,0,1,0
49,32,3,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,no,0,1,0,0,1,0
50,56,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,no,1,0,0,0,1,0
51,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,0,1,0
52,39,3,999,0,1.4,93.444,-36.1,4.966,5228.1,no,0,1,0,0,1,0
53,24,2,3,1,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes,0,0,1,0,1,0
54,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,0,0,1
55,58,2,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,0,1,0,1,0,0
56,29,27,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,0,1
57,31,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
58,27,5,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
59,60,1,999,1,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes,1,0,0,1,0,0
60,55,1,999,2,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no,1,0,0,0,1,0
61,37,2,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,0,1,0,0,1,0
62,52,1,6,1,-1.8,93.749,-34.6,0.654,5008.7,yes,0,0,1,0,1,0
63,46,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no,0,1,0,0,1,0
64,42,2,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,0,1,0,1,0,0
65,35,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,0,1
66,49,1,999,0,-3.4,92.431,-26.9,0.754,5017.5,no,0,1,0,1,0,0
67,29,3,999,0,1.4,94.465,-41.8,4.865,5228.1,no,0,1,0,1,0,0
68,32,2,5,1,-0.1,93.2,-42.0,4.191,5195.8,yes,0,0,1,0,1,0
69,37,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,1,0,0,0,1,0
70,39,4,999,0,1.4,94.465,-41.8,4.865,5228.1,yes,0,1,0,0,0,1
71,51,3,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,yes,0,1,0,0,1,0
72,28,3,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,0,1,0,0,0,1
73,34,4,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,0,1,0,0,1,0
74,31,1,999,0,1.4,93.444,-36.1,4.966,5228.1,yes,0,1,0,0,0,1
75,31,5,999,0,1.4,93.444,-36.1,4.962,5228.1,no,0,1,0,0,1,0
76,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,no,0,1,0,0,0,1
77,38,2,999,0,1.1,93.994,-36.4,4.855,5191.0,no,0,1,0,0,0,1
78,33,6,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,1,0
79,32,12,999,0,1.4,93.444,-36.1,4.966,5228.1,no,0,1,0,0,0,1
80,54,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no,0,1,0,0,1,0
81,41,2,999,0,1.4,94.465,-41.8,4.961,5228.1,no,0,1,0,1,0,0
82,59,7,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
83,57,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,no,0,0,1,0,1,0
84,38,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,1,0,0
85,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
86,37,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,0,0,1
87,47,3,999,0,1.4,94.465,-41.8,4.961,5228.1,yes,0,1,0,0,0,1
88,45,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes,0,1,0,0,0,1
89,36,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,0,1,0
90,40,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,0,1
91,38,2,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,1,0,0,0,1,0
92,44,2,999,0,1.4,94.465,-41.8,4.961,5228.1,no,0,1,0,0,1,0
93,25,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
94,30,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,0,1
95,43,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,0,1,0
96,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
97,31,6,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
98,53,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,1,0
99,52,1,999,0,1.4,93.444,-36.1,4.968,5228.1,no,0,1,0,0,1,0
100,37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,no,1,0,0,0,1,0
101,58,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,1,0
102,37,3,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,0,1,0,0,1,0
103,38,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,0,1,0,0,0,1
104,33,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,no,0,1,0,0,0,1
105,45,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,0,1,0,0,1,0
106,44,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,0,1,0,0,1,0
107,38,2,999,0,1.4,93.91799999999999,-42.7,4.966,5228.1,no,0,1,0,0,1,0
108,34,1,999,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,no,0,1,0,0,1,0
109,47,1,999,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no,0,1,0,0,1,0
110,59,1,999,0,-2.9,92.469,-33.6,1.085,5076.2,no,0,1,0,0,1,0
111,51,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
112,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,no,0,1,0,0,1,0
113,56,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,no,1,0,0,0,1,0
114,39,2,999,0,1.4,94.465,-41.8,4.961,5228.1,no,0,1,0,0,1,0
115,41,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes,0,1,0,0,1,0
116,41,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,1,0,0
117,53,4,999,0,1.1,93.994,-36.4,4.86,5191.0,no,0,1,0,0,1,0
118,35,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,0,1,0
119,58,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,0,1,0,0,1,0
120,25,2,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,1,0
121,35,1,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,1,0,0,1,0,0
122,28,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,no,0,1,0,0,0,1
123,55,3,999,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,1,0,0,0,1,0
124,54,1,999,0,1.1,93.994,-36.4,4.855,5191.0,no,0,1,0,0,1,0
125,45,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,1,0,0
126,32,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,no,1,0,0,0,1,0
127,50,3,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
128,75,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,yes,1,0,0,0,1,0
129,33,4,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,0,1,0,1,0,0
130,29,2,999,0,1.4,93.444,-36.1,4.967,5228.1,no,0,1,0,0,1,0
131,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,0,1,0
132,38,1,999,0,-1.8,93.075,-47.1,1.392,5099.1,yes,0,1,0,1,0,0
133,24,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,0,1,0,0,0,1
134,41,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
135,58,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,yes,0,1,0,1,0,0
136,34,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
137,34,2,999,0,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,0,1,0,0,1,0
138,37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,1,0,0
139,53,1,999,0,1.4,94.465,-41.8,4.959,5228.1,yes,0,1,0,1,0,0
140,54,14,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,1,0,0
141,32,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,1,0,0
142,42,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,0,1,0
143,28,2,3,1,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes,0,0,1,0,0,1
144,33,1,999,0,1.1,93.994,-36.4,4.864,5191.0,no,0,1,0,0,0,1
145,41,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,no,0,1,0,0,1,0
146,31,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,0,1,0
147,40,4,999,0,1.1,93.994,-36.4,4.86,5191.0,no,0,1,0,0,1,0
148,53,1,999,1,-3.4,92.649,-30.1,0.716,5017.5,no,1,0,0,0,1,0
149,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,1,0,0
150,82,3,3,2,-1.1,94.199,-37.5,0.877,4963.6,yes,0,0,1,0,1,0
151,28,1,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,1,0
152,30,3,999,0,-0.1,93.2,-42.0,4.12,5195.8,no,0,1,0,0,1,0
153,31,1,6,3,-1.7,94.215,-40.3,0.835,4991.6,yes,0,0,1,0,0,1
154,32,1,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,0,0,1
155,54,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
156,31,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,no,0,1,0,0,1,0
157,50,2,999,0,1.4,93.444,-36.1,4.968,5228.1,no,0,1,0,0,1,0
158,47,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,0,1
159,31,1,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,0,1,0,0,0,1
160,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,0,1,0
161,46,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,1,0,0,0,0,1
162,47,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,0,1,0,0,0,1
163,32,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,1,0,0,0,0,1
164,52,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,no,0,1,0,1,0,0
165,45,3,6,1,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes,0,0,1,0,1,0
166,32,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,0,1,0,0,1,0
167,71,1,999,0,-1.7,94.027,-38.3,0.904,4991.6,no,0,1,0,1,0,0
168,49,2,999,0,1.1,93.994,-36.4,4.855,5191.0,no,0,1,0,0,1,0
169,46,10,999,0,1.4,94.465,-41.8,4.864,5228.1,no,0,1,0,0,1,0
170,46,1,999,0,-1.1,94.76700000000001,-50.8,1.028,4963.6,no,0,1,0,0,1,0
171,38,6,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,0,1,0
172,57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,0,1,0
173,41,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,1,0,0,0,0,1
174,44,3,999,0,1.1,93.994,-36.4,4.864,5191.0,no,0,1,0,0,1,0
175,47,7,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
176,40,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,0,1,0,0,1,0
177,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,0,1
178,27,1,3,1,-1.8,93.369,-34.8,0.637,5008.7,yes,0,0,1,0,0,1
179,52,1,999,0,1.4,93.444,-36.1,4.966,5228.1,yes,0,1,0,0,1,0
180,34,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,no,0,1,0,0,1,0
181,42,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
182,51,3,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,1,0
183,45,1,999,0,1.1,93.994,-36.4,4.855,5191.0,no,0,1,0,0,1,0
184,56,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,0,1,0,0,1,0
185,41,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,0,1,0
186,44,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
187,50,3,3,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,0,0,1,0,1,0
188,54,3,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
189,51,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
190,30,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,no,0,1,0,0,0,1
191,42,8,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,1,0
192,41,11,999,0,1.4,94.465,-41.8,4.865,5228.1,no,0,1,0,0,1,0
193,47,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,0,0,1
194,35,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,no,1,0,0,0,1,0
195,58,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,1,0,0,0,1,0
196,50,2,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,yes,0,1,0,1,0,0
197,41,1,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
198,38,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,0,1,0,0,1,0
199,32,2,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,0,0,1
200,21,1,999,1,-2.9,92.20100000000001,-31.4,0.884,5076.2,no,1,0,0,0,0,1
201,46,1,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,1,0,0
202,42,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,no,0,1,0,0,1,0
203,55,13,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
204,29,1,6,1,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,0,0,1,0,0,1
205,30,1,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,0,1
206,53,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,no,0,1,0,0,1,0
207,35,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,no,0,1,0,0,1,0
208,46,4,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
209,30,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
210,43,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,1,0
211,42,4,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,1,0
212,32,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,0,1,0
213,41,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,1,0,0,1,0,0
214,28,3,999,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,1,0,0,0,1,0
215,24,6,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,no,0,1,0,0,0,1
216,43,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no,0,1,0,0,1,0
217,30,1,999,0,1.4,93.444,-36.1,4.97,5228.1,no,0,1,0,0,0,1
218,55,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,0,1,0
219,51,1,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,no,0,1,0,0,1,0
220,22,2,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,no,0,1,0,0,0,1
221,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,0,0,1
222,43,3,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,no,0,1,0,0,1,0
223,39,5,999,0,1.4,94.465,-41.8,4.865,5228.1,no,0,1,0,0,1,0
224,52,8,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,1,0,0
225,38,3,999,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,1,0,0,0,0,1
226,59,4,999,0,-1.8,93.075,-47.1,1.453,5099.1,no,0,1,0,0,1,0
227,31,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
228,76,4,6,1,-3.4,92.649,-30.1,0.715,5017.5,yes,0,0,1,0,0,1
229,44,3,999,0,1.4,94.465,-41.8,4.96,5228.1,no,0,1,0,0,0,1
230,30,2,999,0,1.1,93.994,-36.4,4.864,5191.0,no,0,1,0,0,1,0
231,32,1,999,0,1.4,94.465,-41.8,4.959,5228.1,no,0,1,0,0,1,0
232,41,3,999,0,1.4,94.465,-41.8,4.967,5228.1,no,0,1,0,0,1,0
233,33,4,999,0,1.4,93.444,-36.1,4.963,5228.1,yes,0,1,0,0,0,1
234,59,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,1,0
235,28,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,1,0
236,33,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,0,1,0,0,0,1
237,53,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
238,41,6,999,0,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes,0,1,0,0,1,0
239,55,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,no,0,1,0,0,1,0
240,45,1,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
241,35,4,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,no,0,1,0,0,1,0
242,31,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,no,0,1,0,0,1,0
243,53,4,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,0,1,0
244,35,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,0,0,1
245,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,0,1,0,1,0,0
246,34,2,999,0,1.4,94.465,-41.8,4.961,5228.1,no,0,1,0,0,0,1
247,42,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,no,1,0,0,0,1,0
248,36,3,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,0,1,0,0,1,0
249,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
250,50,2,999,0,1.4,93.444,-36.1,4.965,5228.1,no,0,1,0,1,0,0
251,36,1,999,0,-3.4,92.37899999999999,-29.8,0.773,5017.5,no,0,1,0,0,1,0
252,27,9,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,no,0,1,0,0,1,0
253,40,3,999,0,1.1,93.994,-36.4,4.859,5191.0,no,0,1,0,0,1,0
254,25,6,999,0,1.4,94.465,-41.8,4.96,5228.1,no,0,1,0,0,0,1
255,29,2,999,0,1.4,93.444,-36.1,4.966,5228.1,no,0,1,0,0,1,0
256,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
257,57,2,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
258,30,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,no,0,1,0,0,0,1
259,37,2,999,0,1.4,93.444,-36.1,4.967,5228.1,no,0,1,0,0,1,0
260,57,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,1,0
261,32,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,yes,0,1,0,0,1,0
262,54,2,10,1,-1.1,94.76700000000001,-50.8,1.035,4963.6,yes,0,0,1,0,1,0
263,58,1,999,0,1.4,93.444,-36.1,4.97,5228.1,yes,0,1,0,0,1,0
264,29,5,999,0,1.4,93.444,-36.1,4.963,5228.1,no,0,1,0,0,0,1
265,60,1,999,0,1.4,93.444,-36.1,4.966,5228.1,no,0,1,0,0,1,0
266,27,2,999,0,1.4,94.465,-41.8,4.864,5228.1,no,0,1,0,0,0,1
267,30,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0,1,0,0,1,0
268,42,1,999,0,1.1,93.994,-36.4,4.859,5191.0,no,0,1,0,0,1,0
269,48,1,999,0,1.4,94.465,-41.8,4.864,5228.1,no,0,1,0,0,1,0
270,35,2,999,0,1.4,93.444,-36.1,4.97,5228.1,no,0,1,0,0,0,1
271,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
273,30,3,999,0,1.4,94.465,-41.8,4.865,5228.1,no,0,1,0,0,1,0
274,28,4,999,1,-1.8,93.075,-47.1,1.41,5099.1,no,1,0,0,0,0,1
275,34,1,999,0,1.1,93.994,-36.4,4.856,5191.0,no,0,1,0,0,1,0
276,42,1,999,0,1.4,94.465,-41.8,4.958,5228.1,no,0,1,0,0,1,0
277,30,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,0,1,0,0,0,1
278,27,1,999,0,-1.7,94.027,-38.3,0.9,4991.6,no,0,1,0,0,0,1
279,23,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,0,1,0,0,1,0
280,43,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
281,59,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no,0,1,0,0,1,0
282,31,1,999,2,-1.7,94.027,-38.3,0.898,4991.6,no,1,0,0,0,0,1
283,43,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,0,1,0,0,1,0
