,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,education_new
86,37,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,6
87,47,3,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,1,0,2
88,45,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,0,1,0,6
89,36,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
90,40,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,3
91,38,2,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,2
92,44,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,3
93,25,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,6
94,30,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
95,43,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,5
96,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
97,31,6,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,5
98,53,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,6
100,37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,6
101,58,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,3
102,37,3,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,0,1,0,3
104,33,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,1,0,2
105,45,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,1,0,3
106,44,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,5
107,38,2,999,0,1.4,93.91799999999999,-42.7,4.966,5228.1,0,0,1,0,1
108,34,1,999,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0,0,1,0,2
109,47,1,999,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0,0,1,0,6
110,59,1,999,0,-2.9,92.469,-33.6,1.085,5076.2,0,0,1,0,6
111,51,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
112,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
113,56,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,0,1,0,0,6
114,39,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,6
115,41,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,0,1,0,6
116,41,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,1
117,53,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,3
118,35,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,3
119,58,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,2
120,25,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,5
121,35,1,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,1,0,0,2
122,28,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,3
123,55,3,999,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1,0,0,5
124,54,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
125,45,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,2
126,32,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,2
127,50,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,2
128,75,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,0,0,0
130,29,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,6
131,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,6
132,38,1,999,0,-1.8,93.075,-47.1,1.392,5099.1,1,0,1,0,6
133,24,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,5
134,41,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,5
135,58,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,1,0,1,0,3
136,34,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,6
137,34,2,999,0,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,1,0,6
138,37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,5
139,53,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,0,0
140,54,14,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,5
141,32,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,5
142,42,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,3
143,28,2,3,1,-2.9,92.20100000000001,-31.4,0.851,5076.2,1,0,0,1,5
144,33,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,3
145,41,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,2
146,31,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,3
147,40,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,2
148,53,1,999,1,-3.4,92.649,-30.1,0.716,5017.5,0,1,0,0,2
149,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
150,82,3,3,2,-1.1,94.199,-37.5,0.877,4963.6,1,0,0,1,0
151,28,1,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,0
152,30,3,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,3
153,31,1,6,3,-1.7,94.215,-40.3,0.835,4991.6,1,0,0,1,6
154,32,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
155,54,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
156,31,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,2
159,31,1,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,3
160,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,3
161,46,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,3
162,47,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,3
163,32,2,999,2,-1.1,94.76700000000001,-50.8,1.048,4963.6,0,1,0,0,3
164,52,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,3
165,45,3,6,1,-1.1,94.601,-49.5,1.0290000000000001,4963.6,1,0,0,1,3
166,32,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,6
167,71,1,999,0,-1.7,94.027,-38.3,0.904,4991.6,0,0,1,0,0
168,49,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,3
169,46,10,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,3
170,46,1,999,0,-1.1,94.76700000000001,-50.8,1.028,4963.6,0,0,1,0,5
171,38,6,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
172,57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,5
173,41,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,3
174,44,3,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,5
175,47,7,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,6
176,40,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,2
177,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,5
179,52,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,2
180,34,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,0,0,1,0,6
181,42,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,6
183,45,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
184,56,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,3
185,41,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,6
186,44,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,3
187,50,3,3,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,1,0,0,1,1
188,54,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,3
189,51,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
190,30,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,2
191,42,8,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0
192,41,11,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,5
193,47,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,2
194,35,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,1
195,58,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,2
196,50,2,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,1,0,1,0,3
197,41,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,5
198,38,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,6
199,32,2,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,6
200,21,1,999,1,-2.9,92.20100000000001,-31.4,0.884,5076.2,0,1,0,0,3
201,46,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,2
202,42,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0,6
203,55,13,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,2
204,29,1,6,1,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,0,1,3
205,30,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
206,53,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
207,35,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,6
208,46,4,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,5
210,43,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,6
211,42,4,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,3
212,32,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,5
213,41,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,2
214,28,3,999,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,1,0,0,6
215,24,6,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,6
216,43,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,6
217,30,1,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,6
218,55,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,2
219,51,1,999,0,1.4,93.91799999999999,-42.7,4.959,5228.1,0,0,1,0,2
220,22,2,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,3
221,32,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,6
222,43,3,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,5
223,39,5,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,1
225,38,3,999,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,1,0,0,5
226,59,4,999,0,-1.8,93.075,-47.1,1.453,5099.1,0,0,1,0,0
227,31,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
228,76,4,6,1,-3.4,92.649,-30.1,0.715,5017.5,1,0,0,1,0
229,44,3,999,0,1.4,94.465,-41.8,4.96,5228.1,0,0,1,0,2
231,32,1,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,3
233,33,4,999,0,1.4,93.444,-36.1,4.963,5228.1,1,0,1,0,6
234,59,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
235,28,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,2
236,33,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
237,53,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,3
238,41,6,999,0,-1.8,92.84299999999999,-50.0,1.778,5099.1,1,0,1,0,3
239,55,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
240,45,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,2
241,35,4,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,5
242,31,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,3
243,53,4,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
244,35,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,5
245,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
246,34,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,6
247,42,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,2
248,36,3,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,2
249,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,3
250,50,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
251,36,1,999,0,-3.4,92.37899999999999,-29.8,0.773,5017.5,0,0,1,0,6
252,27,9,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,5
254,25,6,999,0,1.4,94.465,-41.8,4.96,5228.1,0,0,1,0,6
255,29,2,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,6
256,44,3,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,3
258,30,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,3
259,37,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,6
260,57,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,2
261,32,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,0,1,0,5
262,54,2,10,1,-1.1,94.76700000000001,-50.8,1.035,4963.6,1,0,0,1,5
263,58,1,999,0,1.4,93.444,-36.1,4.97,5228.1,1,0,1,0,2
264,29,5,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,6
265,60,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,3
266,27,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,6
267,30,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,3
268,42,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
269,48,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,3
270,35,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,6
271,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
272,57,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
273,30,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,3
274,28,4,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,3
275,34,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,3
276,42,1,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,0
277,30,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,6
278,27,1,999,0,-1.7,94.027,-38.3,0.9,4991.6,0,0,1,0,2
279,23,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,6
280,43,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
281,59,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
282,31,1,999,2,-1.7,94.027,-38.3,0.898,4991.6,0,1,0,0,6
283,43,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,2
284,52,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,3
285,26,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,3
286,24,6,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,2
287,35,1,999,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,1,0,0,1
288,59,4,999,1,-1.7,94.055,-39.8,0.742,4991.6,1,1,0,0,5
289,28,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
290,37,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,2
291,46,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,5
292,26,3,6,2,-1.7,94.215,-40.3,0.861,4991.6,1,0,0,1,6
293,40,6,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,6
294,56,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
295,40,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,6
296,29,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,6
297,28,1,999,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,1,0,0,2
299,28,1,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,6
300,33,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,5
301,56,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,6
302,57,4,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,2
303,24,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,3
304,39,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,6
307,25,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,6
308,36,3,999,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,1,1,0,0,2
309,48,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,6
310,32,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,6
311,48,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,6
312,30,3,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,6
313,41,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,3
314,54,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
315,29,1,999,0,-1.8,93.369,-34.8,0.639,5008.7,1,0,1,0,6
316,28,2,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,3
317,30,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,6
318,54,3,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,6
319,33,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,2
320,38,1,11,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,0,1,2
321,46,8,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
322,38,3,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,6
323,38,1,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,3
324,33,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,3
325,25,1,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,6
326,29,10,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,1,0,6
327,60,15,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,5
328,57,2,999,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0,0,1,0,3
329,36,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,6
330,54,5,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,6
