,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,default
126,32,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,no
128,75,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes,no
129,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
130,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,no
131,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
132,38,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes,no
133,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
134,41,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
135,58,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,no
136,34,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
137,34,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,no
138,37,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
139,53,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,no
140,54,14,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
141,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
142,42,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
143,28,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes,no
144,33,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
145,41,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,no
146,31,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
148,53,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no,no
149,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
150,82,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes,no
151,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,no
153,31,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes,no
154,32,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
155,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
156,31,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
157,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,no
158,47,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
159,31,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,no
160,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
161,46,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,no
162,47,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
163,32,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no,no
165,45,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes,no
166,32,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
168,49,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
169,46,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
170,46,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.028,4963.6,no,no
171,38,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
174,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
175,47,7,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
176,40,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
177,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
178,27,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes,no
179,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,no
180,34,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,no
181,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
182,51,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
184,56,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
185,41,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
186,44,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
187,50,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,no
188,54,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
189,51,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
190,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
193,47,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
194,35,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
195,58,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
196,50,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes,no
197,41,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
198,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
199,32,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
200,21,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2,no,no
202,42,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,no
203,55,13,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
204,29,1,6,1,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,no
206,53,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
207,35,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
208,46,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
209,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
212,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
213,41,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
214,28,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,no
215,24,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
217,30,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,no
220,22,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
221,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
224,52,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
225,38,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
226,59,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no,no
227,31,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
228,76,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,no
230,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
232,41,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,no
233,33,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes,no
234,59,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
235,28,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,no
236,33,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
238,41,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes,no
239,55,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
241,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
243,53,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
244,35,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
246,34,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
247,42,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
248,36,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
249,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
250,50,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
251,36,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.773,5017.5,no,no
252,27,9,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
253,40,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
254,25,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,no
255,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
256,44,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
258,30,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
259,37,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,no
260,57,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
261,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes,no
262,54,2,10,1,success,-1.1,94.76700000000001,-50.8,1.035,4963.6,yes,no
263,58,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes,no
266,27,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
267,30,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
268,42,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
269,48,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
270,35,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,no
272,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
273,30,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
274,28,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,no
277,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
278,27,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,no,no
279,23,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
282,31,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,no,no
283,43,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
284,52,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
286,24,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
287,35,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
288,59,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes,no
290,37,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
291,46,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,no
292,26,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes,no
293,40,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
295,40,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,no
296,29,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
297,28,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,no
299,28,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
300,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
301,56,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
302,57,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,no
304,39,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
305,40,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
307,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
309,48,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
310,32,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
311,48,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
313,41,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
315,29,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes,no
316,28,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
317,30,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
318,54,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
320,38,1,11,1,success,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,no
321,46,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
322,38,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
323,38,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
324,33,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
325,25,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
328,57,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
329,36,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
330,54,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
331,25,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
332,41,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
333,54,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,no
336,40,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
338,81,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,no
339,43,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.264,5099.1,no,no
340,34,1,6,2,success,-1.7,94.055,-39.8,0.7040000000000001,4991.6,yes,no
341,42,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,no
342,30,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
345,42,5,10,1,success,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,no
351,52,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,no
352,49,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
353,49,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
354,52,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,no
355,32,4,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
356,27,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
357,44,8,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,no
358,33,7,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,no
359,30,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
360,32,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,no
362,49,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
364,48,8,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes,no
365,42,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
366,28,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
368,23,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
369,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
372,49,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
373,36,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
374,47,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
375,31,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
378,35,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,no,no
379,37,10,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
381,30,1,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes,no
382,33,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
383,57,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
384,39,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
385,43,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
386,32,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
387,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,no
388,35,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
389,47,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,no,no
390,37,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
392,37,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
394,50,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,no
395,30,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
396,33,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
397,37,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
398,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,no
399,30,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no,no
400,51,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
401,49,10,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
402,31,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,no
403,40,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
